"","author","year","title","journal"
"543","LEMOS NM",2004,"EPISTEMIC CIRCULARITY AGAIN","NOUS"
"544","RAZ J",2004,"THE ROLE OF WELL-BEING","NOUS"
"545","ROSEN GIDEON",2004,"SKEPTICISM ABOUT MORAL RESPONSIBILITY","NOUS"
"546","NETA RAM",2004,"SKEPTICISM, ABDUCTIVISM, AND THE EXPLANATORY GAP","NOUS"
"547","WEISBERG MICHAEL",2007,"THREE KINDS OF IDEALIZATION","JOURNAL OF PHILOSOPHY"
"548","SARTORIO CAROLINA",2004,"HOW TO BE RESPONSIBLE FOR SOMETHING WITHOUT CAUSING IT","NOUS"
"549","PRITCHARD DUNCAN",2004,"THE EPISTEMOLOGY OF TESTIMONY (BELIEF)","NOUS"
"550","SCHROEDER MARK",2004,"THE SCOPE OF INSTRUMENTAL REASON","NOUS"
"551","PRYOR JAMES",2004,"WHAT'S WRONG WITH MOORE'S ARGUMENT?","NOUS"
"552","SETIYA K",2004,"HUME ON PRACTICAL REASON","NOUS"
"553","SCHMITT FF",2004,"WHAT IS WRONG WITH EPISTEMIC CIRCULARITY?","NOUS"
"554","WASSERMAN RYAN",2004,"INDETERMINACY, IGNORANCE AND THE POSSIBILITY OF PARITY","NOUS"
"555","STEUP M",2004,"INTERNALIST RELIABILISM","NOUS"
"556","WEDGWOOD RALPH",2004,"THE METAETHICISTS' MISTAKE","NOUS"
"557","VOGEL JONATHAN",2004,"SKEPTICAL ARGUMENTS","NOUS"
"558","WATERS C KENNETH",2007,"CAUSES THAT MAKE A DIFFERENCE","JOURNAL OF PHILOSOPHY"
"559","WILLIAMS MJ",2004,"SCEPTICISM AND THE CONTEXT OF PHILOSOPHY","NOUS"
"560","HAWTHORNE JOHN",2004,"PRECIS OF `KNOWLEDGE AND LOTTERIES'","NOUS"
"561","COHEN S",2004,"KNOWLEDGE, ASSERTION, AND PRACTICAL REASONING","NOUS"
"562","HAWTHORNE JOHN",2004,"REPLIES (TO HARMAN AND SHERMAN, VOGEL, COHEN)","NOUS"
"563","LUPER S",2004,"EPISTEMIC RELATIVISM","NOUS"
"564","VOGEL JONATHAN",2004,"SPEAKING OF KNOWLEDGE (HAWTHORNE, LOTTERIES)","NOUS"
"565","HORTY JF",2003,"REASONING WITH MORAL CONFLICTS","NOUS"
"566","PRUSS AR",2003,"DAVID LEWIS'S COUNTERFACTUAL ARROW OF TIME","NOUS"
"567","ZIMMERMAN D",2003,"THAT WAS THEN, THIS IS NOW: PERSONAL HISTORY VS. PSYCHOLOGICAL STRUCTURE
IN COMPATIBILIST THEORIES OF AUTONOMOUS AGENCY","NOUS"
"568","GODFREY-SMITH PETER",2007,"CONDITIONS FOR EVOLUTION BY NATURAL SELECTION (RICHARD LEWONTIN)","JOURNAL OF PHILOSOPHY"
"569","MACKIE P",2003,"FATALISM, INCOMPATIBILISM, AND THE POWER TO DO OTHERWISE","NOUS"
"570","HUMBERSTONE LLOYD",2003,"NOTES ON CONTRARIES AND SUBCONTRARIES","NOUS"
"571","LACKEY JENNIFER",2003,"A MINIMAL EXPRESSION OF NON-REDUCTIONISM IN THE EPISTEMOLOGY OF
TESTIMONY","NOUS"
"572","LEVEY SAMUEL",2003,"THE INTERVAL OF MOTION IN LEIBNIZ'S `PACIDIUS PHILALETHI'","NOUS"
"573","GERT JOSHUA",2003,"BRUTE RATIONALITY (INTENTIONAL ACTION, RATIONAL ACTION)","NOUS"
"574","MELE ALFRED R",2003,"AGENTS' ABILITIES (PRACTICAL ABILITY, INTENTIONALITY)","NOUS"
"575","BENNETT KAREN",2003,"WHY THE EXCLUSION PROBLEM SEEMS INTRACTABLE, AND HOW, JUST MAYBE TO
TRACT IT","NOUS"
"576","SCHAFFER JONATHAN",2003,"IS THERE A FUNDAMENTAL LEVEL? (REALITY, METAPHYSICS, ONTOLOGY)","NOUS"
"577","MORIARTY J",2003,"AGAINST THE ASYMMETRY OF DESERT (DISTRIBUTIVE AND RETRIBUTIVE JUSTICE)","NOUS"
"578","KLEIN COLIN",2007,"AN IMPERATIVE THEORY OF PAIN","JOURNAL OF PHILOSOPHY"
"579","DELLA ROCCA MICHAEL",2003,"THE POWER OF AN IDEA: SPINOZA'S CRITIQUE OF PURE WILL","NOUS"
"580","MENDOLA JOSEPH",2003,"A DILEMMA FOR ASYMMETRIC DEPENDENCE","NOUS"
"581","BEEBEE HELEN",2003,"LOCAL MIRACLE COMPATIBILISM","NOUS"
"582","SIMCHEN ORI",2003,"MEANINGFULNESS AND CONTINGENT ANALYTICITY","NOUS"
"583","RIGGS WD",2003,"BALANCING OUR EPISTEMIC GOALS","NOUS"
"584","HINCHMAN EDWARD S",2003,"TRUST AND DIACHRONIC AGENCY","NOUS"
"585","AGAR NICHOLAS",2003,"FUNCTIONALISM AND PERSONAL IDENTITY","NOUS"
"586","LEVIN MICHAEL",2007,"COMPATIBILISM AND SPECIAL RELATIVITY (SPECIAL THEORY OF RELATIVITY)","JOURNAL OF PHILOSOPHY"
"587","LINNEBO OYSTEIN",2003,"PLURAL QUANTIFICATION EXPOSED","NOUS"
"588","GREENWOOD JD",2003,"SOCIAL FACTS, SOCIAL GROUPS AND SOCIAL EXPLANATION","NOUS"
"589","SHAPIRO STEWART",2003,"THE GURU, THE LOGICIAN, AND THE DEFLATIONIST: TRUTH AND LOGICAL
CONSEQUENCE","NOUS"
"590","BARKER STEPHEN",2003,"COUNTERFACTUAL ANALYSES OF CAUSATION: THE PROBLEM OF EFFECTS AND
EPIPHENOMENA REVISITED","NOUS"
"591","MARTI G",2003,"THE QUESTION OF RIGIDITY IN NEW THEORIES OF REFERENCE","NOUS"
"592","ANTONY LOUISE M",2003,"WHO'S AFRAID OF DISJUNCTIVE PROPERTIES? (JAEGWON KIM, MENTAL PROPERTIES, MULTIPLE-REALIZABILITY)","NOUS"
"593","BRANQUINHO JOAO",2003,"IN DEFENSE OF OBSTINACY","NOUS"
"594","BILGRAMI AKEEL",2003,"A TRILEMMA FOR REDEPLOYMENT (EXTERNALISM, PRESUMPTION OF SELF-KNOWLEDGE)","NOUS"
"595","SARTORIO CAROLINA",2012,"CAUSATION AND FREEDOM","JOURNAL OF PHILOSOPHY"
"596","BOGHOSSIAN PAUL A",2003,"THE NORMATIVITY OF CONTENT (MENTAL CONTENT, LINGUISTIC MEANING, BELIEF)","NOUS"
"597","CHALMERS DAVID J",2003,"THE NATURE OF NARROW CONTENT (MENTAL STATES, EPISTEMIC SPACE, INTENTIONS)","NOUS"
"598","DEVLIN J",2003,"AN ARGUMENT FOR AN ERROR THEORY OF TRUTH","NOUS"
"599","DRETSKE F",2003,"EXPERIENCE AS REPRESENTATION (QUALIA)","NOUS"
"600","DORR CIAN",2003,"VAGUENESS WITHOUT IGNORANCE","NOUS"
"601","GIBBARD ALLAN",2003,"THOUGHTS AND NORMS (PHYSICAL SYSTEMS, NORMATIVITY)","NOUS"
"602","JACKSON FRANK",2003,"REPRESENTATION AND NARROW BELIEF","NOUS"
"603","LOAR B",2003,"QUALIA, PROPERTIES, MODALITY (PHYSICALISM)","NOUS"
"604","LYCAN WILLIAM G",2003,"VS. A NEW A PRIORIST ARGUMENT FOR DUALISM (PROPERTIES, IDENTITY)","NOUS"
"605","PRICE HUW",2007,"QUINING NATURALISM (ELEACTIC NATURALISM)","JOURNAL OF PHILOSOPHY"
"606","FARA DELIA GRAFF",2003,"DESIRES, SCOPE AND TENSE (LOGIC AND LINGUISTICS)","NOUS"
"607","MCGINN C",2003,"WHAT CONSTITUTES THE MIND-BODY PROBLEM? (CONSCIOUSNESS)","NOUS"
"608","MCLAUGHLIN BRIAN P",2003,"A NATURALIST-PHENOMENAL REALIST RESPONSE TO BLOCK'S HARDER PROBLEM","NOUS"
"609","HARMAN GILBERT",2003,"CATEGORY MISTAKES IN M\&E","NOUS"
"610","HIGGINBOTHAM JAMES",2003,"CONDITIONALS AND COMPOSITIONALITY","NOUS"
"611","KING JEFFREY C",2003,"TENSE, MODALITY, AND SEMANTIC VALUES","NOUS"
"612","PAPINEAU D",2003,"COULD THERE BE A SCIENCE OF CONSCIOUSNESS?","NOUS"
"613","PETTIT P",2003,"LOOKS AS POWERS (COLOUR PROBLEM, BICONDITIONALS, QUALIA)","NOUS"
"614","LARSON R",2003,"TIME AND EVENT MEASURE (LINGUISTIC SEMANTICS)","NOUS"
"615","SHOEMAKER SYDNEY",2003,"CONTENT, CHARACTER AND COLOR (REPRESENTATIONALISM)","NOUS"
"616","MANLEY DAVID",2007,"SAFETY, CONTENT, APRIORITY, SELF-KNOWLEDGE","JOURNAL OF PHILOSOPHY"
"617","PIETROSKI PAUL M",2003,"QUANTIFICATION AND SECOND ORDER MONADICITY","NOUS"
"618","STRAWSON G",2003,"WHAT IS THE RELATION BETWEEN AN EXPERIENCE, THE SUBJECT OF THE
EXPERIENCE, AND THE CONTENT OF THE EXPERIENCE?","NOUS"
"619","YABLO S",2003,"CAUSAL RELEVANCE (WIDE MENTAL STATES)","NOUS"
"620","SCHEIN B",2003,"ADVERBIAL, DESCRIPTIVE RECIPROCALS","NOUS"
"621","SOAMES SCOTT",2003,"UNDERSTANDING DEFLATIONISM","NOUS"
"622","SZABO ZOLTAN GENDLER",2003,"ON QUALIFICATION (LINGUISTIC CONSIDERATIONS)","NOUS"
"623","WILLIAMSON TIMOTHY",2003,"EVERYTHING (CONTEXTUAL RELEVANCE)","NOUS"
"624","SHAPIRO STEWART",2003,"ALL SETS GREAT AND SMALL: AND I DO MEAN ALL","NOUS"
"625","RECANATI F",2003,"EMBEDDED IMPLICATURES","NOUS"
"626","EBBS GARY",2002,"LEARNING FROM OTHERS (DAVIDSON, PRINCIPLE OF CHARITY, BELIEF, JUSTIFICATION)","NOUS"
"627","CAMPBELL RICHMOND",2007,"WHAT IS MORAL JUDGMENT? (MORAL KNOWLEDGE)","JOURNAL OF PHILOSOPHY"
"628","RISSE M",2002,"HARSANYI'S `UTILITARIAN THEOREM' AND UTILITARIANISM","NOUS"
"629","PAUL LA",2002,"LOGICAL PARTS (MEREOLOGY)","NOUS"
"630","GOLDBERG SANFORD C",2002,"DO ANTI-INDIVIDUALISTIC CONSTRUALS OF PROPOSITIONAL ATTITUDES CAPTURE
THE AGENT'S CONCEPTIONS?","NOUS"
"631","MCCARTHY D",2002,"INTENDING HARM, FORESEEING HARM, AND FAILURES OF THE WILL","NOUS"
"632","CRESSWELL MJ",2002,"WHY PROPOSITIONS HAVE NO STRUCTURE (SEMANTICS)","NOUS"
"633","NETA RAM",2002,"S KNOWS THAT P (METAPHYSICAL CONSIDERATIONS, THEORY OF KNOWLEDGE)","NOUS"
"634","OLSON ERIC T",2002,"WHAT DOES FUNCTIONALISM TELL US ABOUT PERSONAL IDENTITY?","NOUS"
"635","FEIT N",2002,"THE TIME OF DEATH'S MISFORTUNE","NOUS"
"636","MILLS EUGENE",2002,"FALLIBILITY AND THE PHENOMENAL SORITES","NOUS"
"637","NELSON M",2002,"DESCRIPTIVISM DEFENDED","NOUS"
"638","HARE CASPAR",2007,"SELF-BIAS, TIME-BIAS, AND THE METAPHYSICS OF SELF AND TIME (LOUIS XIV)","JOURNAL OF PHILOSOPHY"
"639","RAYO AGUSTIN",2002,"WORD AND OBJECTS (ONTOLOGY)","NOUS"
"640","EKLUND MATTI",2002,"PERSONAL IDENTITY AND CONCEPTUAL INCOHERENCE","NOUS"
"641","PEACOCKE CHRISTOPHER",2002,"PRINCIPLES FOR POSSIBILIA","NOUS"
"642","DISALLE R",2002,"CONVENTIONALISM AND MODERN PHYSICS: A RE-ASSESSMENT","NOUS"
"643","DRAPER K",2002,"THE PERSONAL AND IMPERSONAL DIMENSIONS OF BENEVOLENCE","NOUS"
"644","SAUL JM",2002,"SPEAKER MEANING, WHAT IS SAID AND WHAT IS IMPLICATED","NOUS"
"645","SCHWITZGEBEL ERIC",2002,"A PHENOMENAL, DISPOSITIONAL ACCOUNT OF BELIEF","NOUS"
"646","HALL N",2002,"NON-LOCALITY ON THE CHEAP? A NEW PROBLEM FOR COUNTERFACTUAL ANALYSES OF
CAUSATION","NOUS"
"647","HOLDER RD",2002,"FINE-TUNING, MULTIPLE UNIVERSES AND THEISM","NOUS"
"648","ROBBINS P",2002,"HOW TO BLUNT THE SWORD OF COMPOSITIONALITY","NOUS"
"649","PUST JOEL",2007,"CARTESIAN KNOWLEDGE AND CONFIRMATION (BAYESIAN)","JOURNAL OF PHILOSOPHY"
"650","BROCK STUART",2002,"FICTIONALISM ABOUT FICTIONAL CHARACTERS","NOUS"
"651","GERTLER BRIE",2002,"EXPLANATORY REDUCTION, CONCEPTUAL ANALYSIS, AND CONCEIVABILITY ARGUMENTS
ABOUT THE MIND","NOUS"
"652","BERGER ALAN",2002,"A FORMAL SEMANTICS FOR PLURAL QUANTIFICATION, INTERSENTENTIAL BINDING
AND ANAPHORIC PRONOUNS AS RIGID DESIGNATORS","NOUS"
"653","MANLEY DAVID",2002,"PROPERTIES AND RESEMBLANCE CLASSES","NOUS"
"654","DORR CIAN",2002,"NON-COGNITIVISM AND WISHFUL THINKING","NOUS"
"655","LEEDS STEPHEN",2002,"PERCEPTION, TRANSPARENCY, AND THE LANGUAGE OF THOUGHT","NOUS"
"656","SHOEMAKER SYDNEY",2002,"REPLY TO LEEDS","NOUS"
"657","TYE MICHAEL",2002,"REPRESENTATIONALISM AND THE TRANSPARENCY OF EXPERIENCE","NOUS"
"658","BILGRAMI AKEEL",2002,"REALISM AND RELATIVISM","NOUS"
"659","HIGGINBOTHAM JAMES",2002,"COMPETENCE WITH DEMONSTRATIVES","NOUS"
"660","HANSSON SVEN OVE",2007,"THE FALSE DICHOTOMY BETWEEN COHERENTISM AND FOUNDATIONALISM","JOURNAL OF PHILOSOPHY"
"661","DEVITT M",2002,"UNDERDETERMINATION AND REALISM","NOUS"
"662","SAINSBURY RM",2002,"REFERENCE AND ANAPHORA","NOUS"
"663","HIRSCH ELI",2002,"QUANTIFIER VARIANCE AND REALISM","NOUS"
"664","BACH KENT",2002,"GIORGIONE WAS SO-CALLED BECAUSE OF HIS NAME","NOUS"
"665","BEZUIDENHOUT ANNE L",2002,"TRUTH-CONDITIONAL PRAGMATICS","NOUS"
"666","SIDELLE ALAN",2002,"IS THERE A TRUE METAPHYSICS OF MATERIAL OBJECTS?","NOUS"
"667","CHALMERS DAVID J",2002,"ON SENSE AND INTENSION","NOUS"
"668","MOLLER DAN",2007,"LOVE AND DEATH","JOURNAL OF PHILOSOPHY"
"669","STRAWSON G",2002,"KNOWLEDGE OF THE WORLD","NOUS"
"670","VAN INWAGEN PETER",2002,"THE NUMBER OF THINGS","NOUS"
"671","REIMER M",2002,"DO ADJECTIVES CONFORM TO COMPOSITIONALITY?","NOUS"
"672","VARZI ACHILLE C",2002,"ON LOGICAL RELATIVITY","NOUS"
"673","MCKINSEY M",2002,"FORMS OF EXTERNALISM AND PRIVILEGED ACCESS","NOUS"
"674","YABLO S",2002,"ABSTRACT OBJECTS: A CASE STUDY","NOUS"
"675","TAYLOR KA",2002,"DE-RE AND DE-DICTO: AGAINST THE CONVENTIONAL WISDOM","NOUS"
"676","DREIER J",2002,"META-ETHICS AND NORMATIVE COMMITMENT","NOUS"
"677","ROVANE C",2002,"EARNING THE RIGHT TO REALISM OR RELATIVISM IN ETHICS","NOUS"
"678","WEDGWOOD RALPH",2002,"THE AIM OF BELIEF","NOUS"
"679","OKASHA SAMIR",2007,"RATIONAL CHOICE, RISK AVERSION, AND EVOLUTION","JOURNAL OF PHILOSOPHY"
"680","SCHIFFER STEPHEN",2002,"MORAL REALISM AND INDETERMINACY","NOUS"
"681","HALE BOB",2002,"THE SOURCE OF NECESSITY","NOUS"
"682","SINNOTT-ARMSTRONG WALTER",2002,"MORAL RELATIVITY AND INTUITIONISM","NOUS"
"683","STANLEY JASON",2002,"MODALITY AND WHAT IS SAID","NOUS"
"684","SMITH MICHAEL",2002,"EXPLORING THE IMPLICATIONS OF THE DISPOSITIONAL THEORY OF VALUE","NOUS"
"685","TENNANT NEIL",2002,"THE EMPEROR'S NEW CONCEPTS (POSSESSION ACCORDING TO CHRISTOPHER
PEACOCKE)","NOUS"
"686","VAN CLEVE J",2002,"TIME, IDEALISM, AND THE IDENTITY OF INDISCERNIBLES","NOUS"
"687","LINSKY B",2002,"THE RESOLUTION OF RUSSELL'S PARADOX IN `PRINCIPIA MATHEMATICA'","NOUS"
"688","RYSIEW PATRICK",2001,"THE CONTEXT-SENSITIVITY OF KNOWLEDGE ATTRIBUTIONS","NOUS"
"689","REED BARON",2007,"THE LONG ROAD TO SKEPTICISM","JOURNAL OF PHILOSOPHY"
"690","RUMFITT I",2001,"HUME'S PRINCIPLE AND THE NUMBER OF ALL OBJECTS","NOUS"
"691","SIEWERT C",2001,"SELF-KNOWLEDGE AND PHENOMENAL UNITY","NOUS"
"692","CUNEO T",2001,"ARE MORAL QUALITIES RESPONSE-DEPENDENT?","NOUS"
"693","BAXTER DONALD LM",2001,"LOOSE IDENTITY AND BECOMING SOMETHING ELSE","NOUS"
"694","LEWIS D",2001,"TRUTHMAKING AND DIFFERENCE-MAKING","NOUS"
"695","POLLOCK JL",2001,"EVALUATIVE COGNITION","NOUS"
"696","TELLER P",2001,"THE INS AND OUTS OF COUNTERFACTUAL SWITCHING","NOUS"
"697","YALCIN UD",2001,"SOLUTIONS AND DISSOLUTIONS OF THE UNDERDETERMINATION PROBLEM","NOUS"
"698","GLANZBERG M",2001,"SUPERVENIENCE AND INFINITARY LOGIC","NOUS"
"699","STARK S",2001,"VIRTUE AND EMOTION (MORAL PHILOSOPHY)","NOUS"
"700","STREVENS MICHAEL",2012,"CETERIS PARIBUS HEDGES: CAUSAL VOODOO THAT WORKS","JOURNAL OF PHILOSOPHY"
"701","CLARK ANDY",2007,"CURING COGNITIVE HICCUPS: A DEFENSE OF THE EXTENDED MIND","JOURNAL OF PHILOSOPHY"
"702","GAUKER CHRISTOPHER",2001,"SITUATED INFERENCE VERSUS CONVERSATIONAL IMPLICATURE","NOUS"
"703","HELM BENNETT W",2001,"EMOTIONS AND PRACTICAL REASON: RETHINKING EVALUATION AND MOTIVATION","NOUS"
"704","RACHELS S",2001,"A SET OF SOLUTIONS TO PARFIT'S PROBLEMS","NOUS"
"705","PAPINEAU D",2001,"EVIDENTIALISM RECONSIDERED","NOUS"
"706","BRADDON-MITCHELL DAVID",2001,"LOSSY LAWS","NOUS"
"707","BERGMANN MICHAEL",2001,"SKEPTICAL THEISM AND ROWE'S NEW EVIDENTIAL ARGUMENT FROM EVIL","NOUS"
"708","ROWE WL",2001,"SKEPTICAL THEISM: A RESPONSE TO BERGMANN","NOUS"
"709","SOSA DAVID",2001,"RIGIDITY IN THE SCOPE OF RUSSELL'S THEORY","NOUS"
"710","KREMER M",2001,"THE PURPOSE OF TRACTARIAN NONSENSE (WITTGENSTEIN)","NOUS"
"711","GILLETT CARL",2007,"UNDERSTANDING THE NEW REDUCTIONISM: THE METAPHYSICS OF SCIENCE AND
COMPOSITIONAL REDUCTION","JOURNAL OF PHILOSOPHY"
"712","SCHAPIRO T",2001,"THREE CONCEPTIONS OF ACTION IN MORAL THEORY","NOUS"
"713","REA MC",2001,"WHAT IS PORNOGRAPHY?","NOUS"
"714","BARON MARCIA W",2001,"`I THOUGHT SHE CONSENTED' (RAPE, MISTAKE OF FACT IN CRIMINAL LAW)","NOUS"
"715","JUBIEN M",2001,"THINKING ABOUT THINGS - THE NINTH PHILOSOPHICAL PERSPECTIVES LECTURES","NOUS"
"716","LYCAN WILLIAM G",2001,"THE CASE FOR PHENOMENAL EXTERNALISM","NOUS"
"717","CHANG RUTH",2001,"AGAINST CONSTITUTIVE INCOMMENSURABILITY OR BUYING AND SELLING FRIENDS","NOUS"
"718","MADDY P",2001,"NATURALISM: FRIENDS AND FOES","NOUS"
"719","HARDIN R",2001,"LAW AND SOCIAL ORDER","NOUS"
"720","ROSEN GIDEON",2001,"NOMINALISM, NATURALISM, EPISTEMIC RELATIVISM","NOUS"
"721","SALMON NATHAN",2001,"THE LIMITS OF HUMAN MATHEMATICS","NOUS"
"722","POGGE TW",2001,"WHAT WE CAN REASONABLY REJECT (MORALITY, DOMAIN OF DUTIES TO OTHERS)","NOUS"
"723","HUDSON HUD",2001,"TOUCHING (RECEPTACLES)","NOUS"
"724","REA MC",2001,"HOW TO BE AN ELEATIC MONIST (PARMENIDES)","NOUS"
"725","SCHMIDTZ D",2001,"A PLACE FOR COST-BENEFIT ANALYSIS (DECISION-MAKING, CHOICE)","NOUS"
"726","YAGISAWA T",2001,"AGAINST CREATIONISM IN FICTION","NOUS"
"727","ARNESON RICHARD J",2001,"AGAINST RIGHTS (MORAL THEORY)","NOUS"
"728","MERRICKS TRENTON",2001,"REALISM ABOUT PERSONAL IDENTITY OVER TIME?","NOUS"
"729","SIDER THEODORE",2001,"CRITERIA OF PERSONAL IDENTITY AND THE LIMITS OF CONCEPTUAL ANALYSIS","NOUS"
"730","PETERSSON BJORN",2007,"COLLECTIVITY AND CIRCULARITY","JOURNAL OF PHILOSOPHY"
"731","GOODIN RE",2001,"MANAGING SCARCITY: TOWARD A MORE POLITICAL THEORY OF JUSTICE","NOUS"
"732","LUDLOW PETER",2001,"METAPHYSICAL AUSTERITY AND THE PROBLEMS OF TEMPORAL AND MODAL ANAPHORA","NOUS"
"733","LARMORE C",2001,"A CRITIQUE OF PHILIP PETTIT'S REPUBLICANISM","NOUS"
"734","THOMSON JJ",2001,"MCTAGGART ON TIME","NOUS"
"735","LEITER B",2001,"CLASSICAL REALISM (MORAL, POLITICAL, AND LEGAL THEORY)","NOUS"
"736","BRAUN DAVID",2001,"RUSSELLIANISM AND EXPLANATION","NOUS"
"737","PETTIT P",2001,"DELIBERATIVE DEMOCRACY AND THE DISCURSIVE DILEMMA","NOUS"
"738","KING JEFFREY C",2001,"REMARKS ON THE SYNTAX AND SEMANTICS OF DAY DESIGNATORS","NOUS"
"739","SIMMONS AJ",2001,"ON THE TERRITORIAL RIGHTS OF STATES","NOUS"
"740","TEMKIN LS",2001,"INEQUALITY: A COMPLEX, INDIVIDUALISTIC,AND COMPARATIVE NOTION","NOUS"
"741","MENDOLA JOSEPH",2007,"KNOWLEDGE AND EVIDENCE (TIMOTHY WILLIAMSON)","JOURNAL OF PHILOSOPHY"
"742","ZALTA EDWARD N",2001,"FREGEAN SENSES, MODES OF PRESENTATION, AND CONCEPTS","NOUS"
"743","COLEMAN JL",2001,"THE CONVENTIONALITY THESIS","NOUS"
"744","HAWTHORNE JOHN",2001,"CAUSAL STRUCTURALISM","NOUS"
"745","CORRADO ML",2001,"EGALITARIANISM AND THE PROBLEM OF TORT LIABILITY","NOUS"
"746","STOLJAR DANIEL",2001,"THE CONCEIVABILITY ARGUMENT AND TWO CONCEPTIONS OF THE PHYSICAL","NOUS"
"747","DEVITT M",2001,"SUSTAINING ACTUALISM","NOUS"
"748","KRAUS JS",2001,"RECONCILING AUTONOMY AND EFFICIENCY IN CONTRACT LAW: THE VERTICAL
INTEGRATION STRATEGY","NOUS"
"749","TOMBERLIN JE",2001,"HOW NOT TO BE AN ACTUALIST","NOUS"
"750","KUTZ C",2001,"THE JUDICIAL COMMUNITY","NOUS"
"751","MCPHERSON LIONEL K",2007,"NORMATIVITY AND THE REJECTION OF RATIONALISM","JOURNAL OF PHILOSOPHY"
"752","POSTEMA GJ",2001,"LAW AS COMMAND: THE MODEL OF COMMAND IN MODERN JURISPRUDENCE","NOUS"
"753","SAYRE-MCCORD G",2001,"CRIMINAL JUSTICE AND LEGAL REPARATIONS AS AN ALTERNATIVE TO PUNISHMENT","NOUS"
"754","SHAPIRO SJ",2001,"JUDICIAL CAN'T","NOUS"
"755","PELCZAR M",2000,"WITTGENSTEINIAN SEMANTICS","NOUS"
"756","PRYOR JAMES",2000,"THE SKEPTIC AND THE DOGMATIST","NOUS"
"757","KITCHER P",2000,"PARFIT'S PUZZLE (STATES OF AFFAIRS, REPUGNANT CONCLUSION)","NOUS"
"758","HORGAN TERRY",2000,"THE TWO-ENVELOPE PARADOX, NONSTANDARD EXPECTED UTILITY, AND THE
INTENSIONALITY OF PROBABILITY","NOUS"
"759","REYNOLDS STEVEN L",2000,"THE ARGUMENT FROM ILLUSION (PERCEPTION)","NOUS"
"760","HAWTHORNE JOHN",2000,"BEFORE-EFFECT AND ZENO CAUSALITY","NOUS"
"761","VAN INWAGEN PETER",2000,"FREE WILL REMAINS A MYSTERY - THE EIGHTH `PHILOSOPHICAL PERSPECTIVES'
LECTURE (DETERMINISM)","NOUS"
"762","ROTHSCHILD DANIEL",2007,"PRESUPPOSITIONS AND SCOPE","JOURNAL OF PHILOSOPHY"
"763","CLARKE RANDOLPH",2000,"MODEST LIBERTARIANISM (FREE WILL)","NOUS"
"764","KANE R",2000,"THE DUAL REGRESS OF FREE WILL AND THE ROLE OF ALTERNATIVE POSSIBILITIES","NOUS"
"765","KAPITAN T",2000,"AUTONOMY AND MANIPULATED FREEDOM","NOUS"
"766","O'CONNOR T",2000,"CAUSALITY, MIND, AND FREE WILL","NOUS"
"767","PEREBOOM D",2000,"ALTERNATIVE POSSIBILITIES AND CAUSAL HISTORIES","NOUS"
"768","VIHVELIN K",2000,"LIBERTARIAN COMPATIBILISM (DETERMINISM, FREE WILL)","NOUS"
"769","WARFIELD TA",2000,"CAUSAL DETERMINISM AND HUMAN FREEDOM ARE INCOMPATIBLE: A NEW ARGUMENT
FOR INCOMPATIBILISM","NOUS"
"770","WIDERKER DAVID",2000,"FRANKFURT'S ATTACK ON THE PRINCIPLE OF ALTERNATIVE POSSIBILITIES: A
FURTHER LOOK","NOUS"
"771","YAFFE GIDEON",2000,"FREE WILL AND AGENCY AT ITS BEST (FREEDOM OF ACTION, CONSTRAINTS)","NOUS"
"772","AIZAWA KENNETH",2007,"UNDERSTANDING THE EMBODIMENT OF PERCEPTION","JOURNAL OF PHILOSOPHY"
"773","ZAGZEBSKI L",2000,"DOES LIBERTARIAN FREEDOM REQUIRE ALTERNATE POSSIBILITIES?","NOUS"
"774","BRATMAN MICHAEL E",2000,"VALUING AND THE WILL (FREE WILL, DESIRE, WANTS)","NOUS"
"775","GINET C",2000,"THE EPISTEMIC REQUIREMENTS FOR MORAL RESPONSIBILITY","NOUS"
"776","MELE ALFRED R",2000,"GOAL-DIRECTED ACTION: TELEOLOGICAL EXPLANATIONS, CAUSAL THEORIES, AND
DEVIANCE","NOUS"
"777","UNGER P",2000,"THE SURVIVAL OF THE SENTIENT (PERSISTENCE IN TIME)","NOUS"
"778","VELLEMAN JD",2000,"FROM SELF PSYCHOLOGY TO MORAL PHILOSOPHY","NOUS"
"779","TORRAGO L",2000,"VAGUE CAUSATION (COUNTERFACTUALS, TRANSWORLD BEHAVIOR, ESSENCES)","NOUS"
"780","SCOTT-KAKURES D",2000,"MOTIVATED BELIEVING: WISHFUL AND UNWELCOME (SELF-DECEPTION, SELF-PERCEPTION)","NOUS"
"781","GREEN MS",2000,"THE STATUS OF SUPPOSITION (EXTERNALISM, PHILOSOPHY OF MIND, INTENTIONAL
STATES)","NOUS"
"782","NEEDHAM PAUL",2007,"MACROSCOPIC MIXTURES","JOURNAL OF PHILOSOPHY"
"783","WEDGWOOD RALPH",2000,"THE PRICE OF NON-REDUCTIVE PHYSICALISM (MENTAL PROPERTIES, REDUCTION, METAPHYSICAL MODALITY, TRUTHS)","NOUS"
"784","LEVIN MICHAEL",2000,"DEMONS, POSSIBILITY AND EVIDENCE (SKEPTICISM)","NOUS"
"785","STAINTON RJ",2000,"THE MEANING OF `SENTENCES' (AN ARGUMENT ABOUT THEIR USE IN ISOLATION)","NOUS"
"786","PREDELLI S",2000,"WHO'S AFRAID OF SUBSTITUTIVITY? (SEMANTICS OF BELIEF REPORTS)","NOUS"
